time,Cache:adminBytes,Cache:avgBatchCACHEMODE,Cache:avgBatchCRITICAL,Cache:avgBatchDAEMON,Cache:avgBatchEVICTORTHREAD,Cache:avgBatchMANUAL,Cache:cacheTotalBytes,Cache:dataAdminBytes,Cache:dataBytes,Cache:lockBytes,Cache:nBINsEvictedCACHEMODE,Cache:nBINsEvictedCRITICAL,Cache:nBINsEvictedDAEMON,Cache:nBINsEvictedEVICTORTHREAD,Cache:nBINsEvictedMANUAL,Cache:nBINsFetch,Cache:nBINsFetchMiss,Cache:nBINsStripped,Cache:nBatchesCACHEMODE,Cache:nBatchesCRITICAL,Cache:nBatchesDAEMON,Cache:nBatchesEVICTORTHREAD,Cache:nBatchesMANUAL,Cache:nCachedBINs,Cache:nCachedUpperINs,Cache:nEvictPasses,Cache:nINCompactKey,Cache:nINNoTarget,Cache:nINSparseTarget,Cache:nLNsFetch,Cache:nLNsFetchMiss,Cache:nNodesEvicted,Cache:nNodesScanned,Cache:nNodesSelected,Cache:nRootNodesEvicted,Cache:nSharedCacheEnvironments,Cache:nThreadUnavailable,Cache:nUpperINsEvictedCACHEMODE,Cache:nUpperINsEvictedCRITICAL,Cache:nUpperINsEvictedDAEMON,Cache:nUpperINsEvictedEVICTORTHREAD,Cache:nUpperINsEvictedMANUAL,Cache:nUpperINsFetch,Cache:nUpperINsFetchMiss,Cache:requiredEvictBytes,Cache:sharedCacheTotalBytes,Checkpoints:lastCheckpointEnd,Checkpoints:lastCheckpointId,Checkpoints:lastCheckpointStart,Checkpoints:nCheckpoints,Checkpoints:nDeltaINFlush,Checkpoints:nFullBINFlush,Checkpoints:nFullINFlush,Cleaning:cleanerBackLog,Cleaning:fileDeletionBacklog,Cleaning:lnSizeCorrectionFactor,Cleaning:nBINDeltasCleaned,Cleaning:nBINDeltasDead,Cleaning:nBINDeltasMigrated,Cleaning:nBINDeltasObsolete,Cleaning:nCleanerDeletions,Cleaning:nCleanerEntriesRead,Cleaning:nCleanerProbeRuns,Cleaning:nCleanerRuns,Cleaning:nClusterLNsProcessed,Cleaning:nINsCleaned,Cleaning:nINsDead,Cleaning:nINsMigrated,Cleaning:nINsObsolete,Cleaning:nLNQueueHits,Cleaning:nLNsCleaned,Cleaning:nLNsDead,Cleaning:nLNsLocked,Cleaning:nLNsMarked,Cleaning:nLNsMigrated,Cleaning:nLNsObsolete,Cleaning:nMarkLNsProcessed,Cleaning:nPendingLNsLocked,Cleaning:nPendingLNsProcessed,Cleaning:nRepeatIteratorReads,Cleaning:nToBeCleanedLNsProcessed,Cleaning:pendingLNQueueSize,Cleaning:totalLogSize,Environment:btreeRelatchesRequired,Environment:environmentCreationTime,I/O:bufferBytes,I/O:endOfLog,I/O:nBytesReadFromWriteQueue,I/O:nBytesWrittenFromWriteQueue,I/O:nCacheMiss,I/O:nFSyncRequests,I/O:nFSyncTime,I/O:nFSyncs,I/O:nFileOpens,I/O:nGroupCommitRequests,I/O:nGroupCommitWaits,I/O:nGrpCommitTimeouts,I/O:nLogBuffers,I/O:nLogFSyncs,I/O:nLogIntervalExceeded,I/O:nLogMaxGroupCommitThreshold,I/O:nNotResident,I/O:nOpenFiles,I/O:nRandomReadBytes,I/O:nRandomReads,I/O:nRandomWriteBytes,I/O:nRandomWrites,I/O:nReadsFromWriteQueue,I/O:nRepeatFaultReads,I/O:nSequentialReadBytes,I/O:nSequentialReads,I/O:nSequentialWriteBytes,I/O:nSequentialWrites,I/O:nTempBufferWrites,I/O:nWriteQueueOverflow,I/O:nWriteQueueOverflowFailures,I/O:nWritesFromWriteQueue,Jvm:PS MarkSweep.count,Jvm:PS MarkSweep.time,Jvm:PS Scavenge.count,Jvm:PS Scavenge.time,Jvm:heap,Jvm:loadAverage,Locks:nLatchAcquireNoWaitUnsuccessful,Locks:nLatchAcquiresNoWaitSuccessful,Locks:nLatchAcquiresNoWaiters,Locks:nLatchAcquiresSelfOwned,Locks:nLatchAcquiresWithContention,Locks:nLatchReleases,Locks:nRequests,Locks:nWaits,Node Compression:cursorsBins,Node Compression:dbClosedBins,Node Compression:inCompQueueSize,Node Compression:nonEmptyBins,Node Compression:processedBins,Node Compression:splitBins,Op:cursorDelete,Op:cursorGetCurrent,Op:cursorGetFirst,Op:cursorGetLast,Op:cursorGetNext,Op:cursorGetNextDup,Op:cursorGetNextNoDup,Op:cursorGetPrev,Op:cursorGetPrevDup,Op:cursorGetPrevNoDup,Op:cursorPut,Op:cursorPutCurrent,Op:cursorPutNoDupData,Op:cursorPutNoOverwrite,Op:dbDelete,Op:dbGet,Op:dbGetSearchBoth,Op:dbPut,Op:dbPutNoDupData,Op:dbPutNoOverWrite,Op:dbRemoveSequence,Op:dosCursorGetNext,Op:secondaryCursorDelete,Op:secondaryCursorGetCurrent,Op:secondaryCursorGetFirst,Op:secondaryCursorGetLast,Op:secondaryCursorGetNext,Op:secondaryCursorGetNextDup,Op:secondaryCursorGetNextNoDup,Op:secondaryCursorGetPrev,Op:secondaryCursorGetPrevDup,Op:secondaryCursorGetPrevNoDup,Op:secondaryDbDelete,Op:secondaryDbGet,Op:secondaryDbGetSearchBoth
2021-01-31T01:23:35Z,161,0,0,0,0,0,6374340,1467,3228451,0,0,0,0,0,0,5896,0,0,0,0,0,0,0,157,5,0,81,1,5,1247,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,943,1,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1612055615144,3145728,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,98,2,8,135825136,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,150,0,6,0,300,0,0,0,0,0,0,0,0,0,0,3752,0,2093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-31T01:24:35Z,161,0,0,0,0,0,7283348,1467,4137459,0,0,0,0,0,0,21192,0,0,0,0,0,0,0,201,5,0,104,1,5,5679,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,943,1,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1612055615144,3145728,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,27,344262736,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,250,0,10,0,500,0,0,0,0,0,0,0,0,0,0,17676,0,3424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-31T01:25:35Z,161,0,0,0,0,0,8887756,1467,5741867,0,0,0,0,0,0,45375,0,0,0,0,0,0,0,261,7,0,119,1,6,15075,0,0,0,0,0, ,0,0,0,0,0,0,1259,0,0,0,943,1,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1612055615144,3145728,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,135,59,188,153185344,3,0,0,0,0,0,0,0,0,0,0,2,0,8,0,600,0,24,0,1200,0,0,0,0,0,0,0,0,0,0,38964,0,6238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-31T01:26:35Z,161,0,0,0,0,0,10410596,1467,7264707,0,0,0,0,0,0,59046,0,0,0,0,0,0,0,306,9,0,109,1,7,27184,0,0,0,0,0, ,0,0,0,0,0,0,57122,0,0,0,943,1,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1612055615144,3145728,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,261,204075248,2,0,0,0,0,0,0,0,0,0,0,1,0,10,0,600,0,24,0,1200,0,0,0,0,0,0,0,0,0,0,53285,0,5594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-31T01:27:35Z,161,0,0,0,0,0,11557596,1467,8411707,0,0,0,0,0,0,49055,0,0,0,0,0,0,0,342,9,0,101,1,7,18931,0,0,0,0,0, ,0,0,0,0,0,0,49027,0,0,0,943,1,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1612055615144,3145728,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,118,68,228,328971552,2,0,0,0,0,0,0,0,0,0,0,0,0,8,0,500,0,20,0,1000,0,0,0,0,0,0,0,0,0,0,44109,0,4810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-31T01:28:35Z,161,0,0,0,0,0,12906588,1467,9760699,0,0,0,0,0,0,47704,0,0,0,0,0,0,0,385,10,0,91,1,7,18828,0,0,0,0,0, ,0,0,0,0,0,0,47659,0,0,0,943,1,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1612055615144,3145728,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,121,119,300,250598904,3,0,0,0,0,0,0,0,0,0,0,0,0,10,0,600,0,24,0,1200,0,0,0,0,0,0,0,0,0,0,42485,0,5032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-31T01:29:35Z,161,0,0,0,0,0,13759260,1467,10613371,0,0,0,0,0,0,45088,0,0,0,0,0,0,0,414,11,0,84,1,7,18809,0,0,0,0,0, ,0,0,0,0,0,0,45059,0,0,0,943,1,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1612055615144,3145728,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,237,111,324,189043816,3,0,0,0,0,0,0,0,0,0,0,0,0,7,0,500,0,20,0,1000,0,0,0,0,0,0,0,0,0,0,41398,0,3562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-31T01:30:35Z,161,0,0,0,0,0,14084492,1467,10938603,0,0,0,0,0,0,39465,0,0,0,0,0,0,0,432,11,0,74,1,7,16059,0,0,0,0,0, ,0,0,0,0,0,0,39428,0,0,0,943,1,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1612055615144,3145728,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,104,96,263,296179592,3,0,0,0,0,0,0,0,0,0,0,1,0,10,0,700,0,28,0,1400,0,0,0,0,0,0,0,0,0,0,37150,0,2165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-31T01:31:35Z,161,0,0,0,0,0,14621636,1467,11475747,0,0,0,0,0,0,17705,0,0,0,0,0,0,0,458,12,0,66,1,7,4448,0,0,0,0,0, ,0,0,0,0,0,0,17676,0,0,0,943,1,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1612055615144,3145728,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,79,70,165,344118368,2,0,0,0,0,0,0,0,0,0,0,0,0,8,0,500,0,20,0,1000,0,0,0,0,0,0,0,0,0,0,14465,0,3112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-31T01:32:35Z,161,0,0,0,0,0,15311516,1467,12165627,0,0,0,0,0,0,16570,0,0,0,0,0,0,0,496,11,0,55,1,7,2725,0,0,0,0,0, ,0,0,0,0,0,0,16542,0,0,0,943,1,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1612055615144,3145728,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,131,50,146,202844568,2,0,0,0,0,0,0,0,0,0,0,1,0,10,0,650,0,26,0,1300,0,0,0,0,0,0,0,0,0,0,12151,0,4254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
